FileName,NWorksheets,NFunctions,NUniqueFunctions,Ncells,NNonEmptyCells,Nformulas,NUniqueFormulas,NRelatedWorksheets,NErrorCells,NNamedRanges,NUDFs, NFormulasReferring,NFormulasReferred,NFormulasOnce,NFormulasMore,NFormulasMost,NFunctionUsingList9
danny_mccarty__4641__NeubauerBonusCommercial_UnP.xls,2,7,5,993,992,8,5,0,0,0,0,5,3,4,2,4,0
danny_mccarty__4642__NeubauerMerit.xls,3,17,5,1164,1162,16,10,0,0,0,0,10,9,7,3,3,0
danny_mccarty__4643__PRM MTM as of 12-10-2001.xls,9,122,5,98914,98910,2086,122,0,4,0,0,117,39,36,86,720,0
danny_mccarty__4649__GaddBonusCommercial_UnP.xls,2,3,3,107,106,6,3,0,0,0,0,3,0,2,1,4,0
danny_mccarty__4650__GaddMerit.xls,3,10,4,129,127,17,7,0,0,0,0,7,5,2,5,3,0
danny_mccarty__4651__KilmerBonusCommercial_UnP.xls,2,3,3,170,169,6,3,0,0,0,0,3,0,2,1,4,0
danny_mccarty__4652__KilmerMerit.xls,3,10,4,232,230,15,7,0,0,0,0,7,5,2,5,3,0
danny_mccarty__4653__Final1MillerBonusCommercial_UnP1.xls,,0,0,,,,,,0,0,0,0,0,0,0,0,0
danny_mccarty__4654__Final1MillerMerit.xls,,0,0,,,,,,0,0,0,0,0,0,0,0,0
danny_mccarty__4655__NeubauerBonusCommercial_UnP.xls,2,7,5,993,992,8,5,0,0,0,0,5,3,4,2,4,0
danny_mccarty__4657__NNG_Wkly1228.xls,5,133,6,768,744,192,104,3,0,0,0,96,116,80,51,23,0
danny_mccarty__4658__CA. Capacity Report.xls,3,0,0,187,187,0,0,0,0,0,0,0,0,0,0,0,0
danny_mccarty__4659__prophetX.xls,4,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0
danny_mccarty__4660__IdleAire 10-2001 Valuation.xls,11,907,11,3423,3347,1353,686,9,0,0,0,242,386,563,170,38,1
danny_mccarty__4661__XTRANSCO - Economics.xls,6,300,11,2933,2925,1016,190,14,1,0,0,181,235,90,123,77,1
danny_mccarty__4662__Prelim Truck Survey Results.xls,8,6,2,790,790,7,6,0,0,0,0,5,3,5,1,2,0
danny_mccarty__4692__CA. Capacity Report.xls,3,0,0,187,187,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5010__Texas_Desk_Wellhead_Supply_March_2001_03_14.xls,7,27,6,1650,1641,51,21,0,8,0,0,13,15,9,15,9,0
daren_farmer__5011__APRNOM_2001.xls,4,64,7,15219,15165,1143,58,0,0,0,0,23,27,44,19,572,0
daren_farmer__5012__APRNOM_2001.xls,4,64,7,15223,15165,526,58,0,0,0,0,23,29,44,19,339,0
daren_farmer__5013__Texas_Desk_Wellhead_Supply_April_2001_04_05.xls,7,27,6,1596,1586,56,22,1,8,0,0,14,16,10,14,9,0
daren_farmer__5014__Texas_Desk_Wellhead_Supply_April_2001_04_09JDF.xls,7,27,6,1744,1733,82,22,1,8,0,0,14,16,9,15,23,0
daren_farmer__5015__Texas_Desk_Wellhead_Supply_April_2001_04_09JDF_Rev.xls,7,27,6,1747,1736,64,22,1,8,0,0,14,16,9,16,10,0
daren_farmer__5016__HPLN0310.xls,3,4,2,60,49,10,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5017__HPLN0313.xls,3,4,2,53,42,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5018__HPLN0314.xls,3,4,2,53,42,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5019__HPLN0315.xls,3,4,2,53,42,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5020__HPLN0317.xls,3,4,2,60,49,10,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5021__HPLN0316.xls,3,4,2,53,42,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5022__HPLN0321.xls,3,4,2,53,42,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5023__HPLN0322.xls,3,4,2,53,42,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5024__HPLN0323.xls,3,4,2,53,42,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5025__HPLN0324.xls,3,4,2,69,60,9,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5026__SDSNOM.xls,3,18,5,144,134,32,16,0,0,0,0,12,14,11,5,9,0
daren_farmer__5027__HPLN0327.xls,3,4,2,66,57,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5028__HPLN0328.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5029__HPLN0329.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5030__HPLN0330.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5031__HPLN0401.xls,3,4,2,69,60,9,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5032__HPLN0331.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5033__HPLN0403.xls,3,4,2,56,46,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5034__HPLN0404.xls,3,4,2,56,46,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5035__HPLN0405.xls,3,4,2,56,46,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5036__HPLN0406.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5037__HPLN0407.xls,3,4,2,64,55,10,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5038__HPLN0410.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5039__HPLN0411.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5040__HPLN0412.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5041__HPLN0413.xls,3,4,2,72,63,13,4,0,0,0,0,3,0,1,3,4,0
daren_farmer__5042__HPLN0417.xls,3,4,2,56,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5043__HPLN0418.xls,3,4,2,56,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5044__HPLN0419.xls,3,4,2,56,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5045__HPLN0421.xls,3,4,2,63,54,9,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5046__HPLN0420.xls,3,4,2,56,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5047__HPLN0418.xls,3,4,2,67,58,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5048__HPLN0419.xls,3,4,2,67,58,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5049__SDSNOM.xls,3,18,5,146,137,33,16,0,0,0,0,12,14,10,6,9,0
daren_farmer__5050__HPLN0424.xls,3,4,2,56,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5051__HPLN0425.xls,3,4,2,56,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5052__HPLN0426.xls,3,4,2,52,42,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5053__HPLN0427.xls,3,4,2,52,42,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5054__HPLN0428.xls,3,4,2,59,49,10,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5055__HPLN0428.xls,3,4,2,65,56,10,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5056__HPLN0501.xls,3,4,2,66,57,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5057__HPLN0502.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5058__HPLN0503.xls,3,4,2,66,57,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5059__HPLN0504.xls,3,4,2,66,57,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5060__HPLN0505.xls,3,4,2,75,66,9,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5061__HPLN0508.xls,3,4,2,66,57,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5062__HPLN0509.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5063__HPLN0510.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5064__HPLN0511.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5065__HPLN0515.xls,3,4,2,66,57,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5066__HPLN0512.xls,3,4,2,70,61,10,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5067__HPLN0516.xls,3,4,2,66,57,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5068__HPLN0517.xls,3,4,2,66,57,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5069__HPLN0518.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5070__HPLN0519.xls,3,4,2,65,55,10,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5071__HPLN0522.xls,3,4,2,57,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5072__HPLN0523.xls,3,4,2,57,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5073__HPLN0524.xls,3,4,2,57,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5074__SDSNOM.xls,3,19,5,148,140,34,17,0,0,0,0,12,15,11,6,9,0
daren_farmer__5075__HPLN0525.xls,3,4,2,57,47,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5076__HPLN0530.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5077__HPLN0526.xls,3,4,2,69,60,9,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5078__HPLN0531.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5079__HPLN0601.xls,3,4,2,61,52,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5080__BMSPT041.xls,2,32,6,745,707,254,32,0,0,0,0,31,32,13,25,64,1
daren_farmer__5081__Tenaska IV 2001.xls,3,11,2,158,148,24,15,0,0,0,0,15,11,9,9,3,0
daren_farmer__5082__2001FuelMgmt.xls,4,164,7,12300,12199,452,139,0,0,0,0,136,458,81,161,75,1
daren_farmer__5084__Texas_Desk_Wellhead_Supply_April_2001_04_05.xls,7,27,6,1607,1596,65,22,1,8,0,0,14,16,9,15,14,0
daren_farmer__5086__EEXBid.xls,4,1,1,474,474,1,1,0,0,0,0,0,0,1,0,1,0
daren_farmer__5087__EEX_HPL.xls,1,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5088__EEXBid.xls,6,1,1,929,929,1,1,0,0,0,0,0,0,1,0,1,0
daren_farmer__5091__Texas_Desk_Wellhead_Supply_April_2001_04_16.xls,3,27,6,1809,1799,65,22,0,9,0,0,14,16,9,16,12,0
daren_farmer__5092__Texas_Desk_Wellhead_Supply_May_2001_05_16.xls,3,27,6,1712,1702,60,22,0,9,0,0,14,16,9,15,9,0
daren_farmer__5093__Texas_Desk_Wellhead_Supply_May_2001_05_16df.xls,3,27,6,1712,1702,67,22,0,9,0,0,14,16,9,16,12,0
daren_farmer__5095__Tufco_May01.xls,1,2,1,215,211,9,2,0,0,0,0,2,0,0,2,7,0
daren_farmer__5096__2001FuelMgmt.xls,4,164,7,12300,12199,428,139,0,0,0,0,136,459,81,154,75,1
daren_farmer__5097__04-01-A-T-E Report-Assets.xls,1,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5098__SmartPigging (812-Lomax) Market Takes Plan Final.xls,3,3,2,375,375,3,2,0,0,0,0,2,2,1,1,2,0
daren_farmer__5099__Hot Loads May 00-01.xls,3,0,0,346,346,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5100__buydef.xls,1,0,0,232,232,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5101__buydef.xls,1,0,0,248,248,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5102__buydef.xls,1,0,0,249,249,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5103__HPL-Apr.xls,1,17,3,291,287,83,17,0,0,0,0,15,21,1,19,28,0
daren_farmer__5105__06-01-A-T-E Report-Assets.xls,1,0,0,625,625,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5108__2001FuelMgmt March.xls,4,165,7,12303,12202,429,140,0,0,0,0,137,462,82,157,75,1
daren_farmer__5109__2001FuelMgmt April.xls,5,188,7,14718,14585,481,162,0,0,0,0,159,496,89,186,75,1
daren_farmer__5110__2001FuelMgmt.xls,6,217,7,17134,16968,593,188,0,0,0,0,185,539,95,217,75,1
daren_farmer__5111__2001FuelMgmt April rev.xls,6,215,7,17154,16983,539,188,0,0,0,0,185,532,99,213,75,1
daren_farmer__5112__2001FuelMgmt.xls,7,244,7,19729,19477,611,210,0,0,0,0,207,610,105,243,75,1
daren_farmer__5113__Book2.xls,3,3,2,41,41,5,2,0,0,0,0,2,2,0,2,3,0
daren_farmer__5115__EnronAvails0501.xls,2,31,4,2906,2894,81,23,0,0,0,0,23,35,3,23,8,0
daren_farmer__5127__Texas_Desk_Wellhead_Supply_April_2001_04_16.xls,3,27,6,1801,1791,70,22,0,9,0,0,14,16,9,16,12,0
daren_farmer__5128__Texas_Desk_Wellhead_Supply_April_2001_04_16JDF_Rev.xls,3,27,6,1809,1799,65,22,0,9,0,0,14,16,9,16,12,0
daren_farmer__5129__Cotten042401.xls,3,6,4,6011,6005,305,5,0,0,0,0,3,1,2,3,299,0
daren_farmer__5130__BMSPT041.xls,2,32,6,745,707,254,32,0,0,0,0,31,32,13,25,64,1
daren_farmer__5131__Texas_Desk_Wellhead_Supply_May_2001_05_06.xls,7,27,6,1596,1586,70,22,1,8,0,0,14,16,9,15,15,0
daren_farmer__5132__Texas_Desk_Wellhead_Supply_May_2001_05_06JDF.xls,7,27,6,1572,1562,65,22,1,8,0,0,14,16,9,16,10,0
daren_farmer__5133__Texas_Desk_Wellhead_Supply_May_2001_05_06JDF.xls,3,27,6,1570,1560,65,22,0,9,0,0,14,16,9,16,10,0
daren_farmer__5134__Texas_Desk_Wellhead_Supply_May_2001_05_14.xls,3,27,6,1579,1569,70,22,0,9,0,0,14,16,9,16,13,0
daren_farmer__5136__Cotten051101.xls,1,44,7,19202,19149,256,44,0,2,0,0,9,8,33,11,139,0
daren_farmer__5139__BobCotten052401.xls,4,27,6,8046,7987,44,21,0,0,0,0,18,23,13,13,12,0
daren_farmer__5140__BobCotten052901.xls,1,3,3,7620,7570,542,4,0,2,0,0,3,2,2,2,537,0
daren_farmer__5188__BMSPT051.xls,2,33,6,761,725,290,33,0,0,0,0,32,34,14,25,108,1
daren_farmer__5207__BMSPT041.xls,2,32,6,745,707,256,32,0,0,0,0,31,32,13,25,68,1
daren_farmer__5208__BMSPT041.xls,2,32,6,745,707,257,32,0,0,0,0,31,32,13,25,70,1
daren_farmer__5209__BMSPT041.xls,2,32,6,745,707,255,32,0,0,0,0,31,32,13,25,66,1
daren_farmer__5210__BMSPT041.xls,2,32,6,745,707,255,32,0,0,0,0,31,32,13,25,66,1
daren_farmer__5213__BMSPT041.xls,2,32,6,745,707,254,32,0,0,0,0,31,32,13,25,64,1
daren_farmer__5214__BMSPT041.xls,2,32,6,745,707,254,32,0,0,0,0,31,32,13,25,64,1
daren_farmer__5215__BMSPT051.xls,2,36,6,761,725,297,34,0,0,0,0,33,38,16,24,120,1
daren_farmer__5216__BMSPT041.xls,2,32,6,745,707,254,32,0,0,0,0,31,32,13,25,61,1
daren_farmer__5217__BMSPT041.xls,2,32,6,745,707,254,32,0,0,0,0,31,32,13,25,61,1
daren_farmer__5218__BMSPT051.xls,2,36,6,761,725,297,34,0,0,0,0,33,38,16,24,120,1
daren_farmer__5219__BMSPT051.xls,2,36,6,761,725,297,34,0,0,0,0,33,38,14,26,118,1
daren_farmer__5220__BMSPT041.xls,2,32,6,745,707,254,32,0,0,0,0,31,32,13,25,61,1
daren_farmer__5221__BMSPT051.xls,2,36,6,761,725,297,34,0,0,0,0,33,38,14,26,118,1
daren_farmer__5222__BMSPT051.xls,2,36,6,761,725,297,34,0,0,0,0,33,38,14,26,116,1
daren_farmer__5223__BMSPT051.xls,2,36,6,761,725,297,34,0,0,0,0,33,38,14,26,114,1
daren_farmer__5224__BMSPT051.xls,2,36,6,761,725,315,34,0,0,0,0,33,38,13,29,114,1
daren_farmer__5225__BMSPT051.xls,2,36,6,763,727,297,34,0,0,0,0,33,38,14,26,108,1
daren_farmer__5226__BMSPT051.xls,2,33,6,761,725,289,33,0,0,0,0,32,34,14,25,106,1
daren_farmer__5227__BMSPT051.xls,2,33,6,761,725,289,33,0,0,0,0,32,34,14,25,106,1
daren_farmer__5228__BMSPT051.xls,2,33,6,761,725,288,33,0,0,0,0,32,34,14,25,104,1
daren_farmer__5229__BMSPT051.xls,2,33,6,761,725,288,33,0,0,0,0,32,34,14,25,104,1
daren_farmer__5230__BMSPT051.xls,2,33,6,761,725,287,33,0,0,0,0,32,34,14,25,102,1
daren_farmer__5231__BMSPT051.xls,2,33,6,761,725,286,33,0,0,0,0,32,34,14,25,100,1
daren_farmer__5232__BMSPT051.xls,2,33,6,761,725,287,33,0,0,0,0,32,34,14,25,102,1
daren_farmer__5233__BMSPT051.xls,2,33,6,761,725,286,33,0,0,0,0,32,34,14,25,100,1
daren_farmer__5234__BMSPT051.xls,2,33,6,761,725,283,33,0,0,0,0,32,34,14,25,94,1
daren_farmer__5235__BMSPT051.xls,2,33,6,761,725,283,33,0,0,0,0,32,34,14,25,94,1
daren_farmer__5236__BMSPT051.xls,2,33,6,761,725,282,33,0,0,0,0,32,34,14,25,92,1
daren_farmer__5237__BMSPT051.xls,2,33,6,761,725,282,33,0,0,0,0,32,34,14,25,92,1
daren_farmer__5238__BMSPT051.xls,2,33,6,761,725,281,33,0,0,0,0,32,34,14,25,90,1
daren_farmer__5239__BMSPT051.xls,2,33,6,761,725,281,33,0,0,0,0,32,34,14,25,90,1
daren_farmer__5240__BMSPT051.xls,2,33,6,761,725,280,33,0,0,0,0,32,34,14,25,88,1
daren_farmer__5241__BMSPT051.xls,2,33,6,761,725,280,33,0,0,0,0,32,34,14,25,88,1
daren_farmer__5242__BMSPT051.xls,2,33,6,761,725,279,33,0,0,0,0,32,34,14,25,86,1
daren_farmer__5243__BMSPT051.xls,2,33,6,761,725,279,33,0,0,0,0,32,34,14,25,86,1
daren_farmer__5244__BMSPT051.xls,2,33,6,761,725,276,33,0,0,0,0,32,34,14,25,80,1
daren_farmer__5245__BMSPT051.xls,2,33,6,761,725,276,33,0,0,0,0,32,34,14,25,80,1
daren_farmer__5246__BMSPT051.xls,2,33,6,761,725,275,33,0,0,0,0,32,34,14,25,78,1
daren_farmer__5247__BMSPT051.xls,2,33,6,761,725,274,33,0,0,0,0,32,34,14,25,76,1
daren_farmer__5248__BMSPT051.xls,2,33,6,761,725,275,33,0,0,0,0,32,34,14,25,78,1
daren_farmer__5249__BMSPT051.xls,2,33,6,761,725,274,33,0,0,0,0,32,34,14,25,76,1
daren_farmer__5250__BMSPT051.xls,2,33,6,761,725,273,33,0,0,0,0,32,34,14,25,74,1
daren_farmer__5251__BMSPT051.xls,2,33,6,761,725,273,33,0,0,0,0,32,34,14,25,74,1
daren_farmer__5252__BMSPT051.xls,2,34,6,761,725,274,34,0,0,0,0,33,34,15,25,74,1
daren_farmer__5253__BMSPT051.xls,2,34,6,761,725,274,34,0,0,0,0,33,34,15,25,74,1
daren_farmer__5254__BMSPT051.xls,2,34,6,761,725,274,34,0,0,0,0,33,34,15,25,74,1
daren_farmer__5255__BMSPT051.xls,2,34,6,761,725,274,34,0,0,0,0,33,34,15,25,74,1
daren_farmer__5256__BMSPT051.xls,2,34,6,761,725,274,34,0,0,0,0,33,34,15,25,67,1
daren_farmer__5257__BMSPT051.xls,2,34,6,761,725,274,34,0,0,0,0,33,34,15,25,67,1
daren_farmer__5273__BasketballScedule.xls,3,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5276__aeptransitionissues.xls,3,0,0,244,244,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5277__BigCowboyProdAnalysis.xls,3,8,3,176,176,30,6,0,0,0,0,6,10,3,7,11,0
daren_farmer__5280__Apr01.xls,3,6,3,611,608,15,5,0,0,0,0,5,16,3,9,8,0
daren_farmer__5284__buydef.xls,1,0,0,208,208,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5285__buydef.xls,1,0,0,216,216,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5286__buydef.xls,1,0,0,332,332,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5287__Mid-Year 2001 A-A PRC Reps 6-6-01.xls,1,0,0,3280,3280,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5288__2001FuelMgmt May.xls,7,246,7,19740,19484,613,212,0,0,0,0,209,611,107,243,75,1
daren_farmer__5289__Schedule 4.19c.xls,1,0,0,244,244,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5291__HPL-May.xls,1,16,3,209,205,49,17,0,0,0,0,15,21,14,6,30,0
daren_farmer__5292__HPL-May.xls,1,17,3,1265,1261,467,18,0,0,0,0,16,22,1,20,69,0
daren_farmer__5293__LAphonelist.xls,3,0,0,82,82,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5294__LAphonelist.xls,3,0,0,82,82,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5312__farmer_waha_ua4.xls,3,11,1,15787,15787,19,11,0,0,0,0,11,0,6,5,3,0
daren_farmer__5313__jun00hl&p2.xls,2,1,1,567,566,4,3,0,2,0,0,3,2,2,1,2,0
daren_farmer__5314__ss198Jreveff062100.xls,3,4,3,18,18,2,2,0,0,0,0,2,3,2,0,1,0
daren_farmer__5315__Enron Nom Change.xls,3,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5316__Enron Nom Change.xls,3,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5317__hpl0621.xls,3,5,2,100,97,10,5,0,0,0,0,4,0,2,3,3,0
daren_farmer__5318__Enron Nom Change.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5319__GB128reveff062200.xls,3,8,3,25,25,5,4,0,0,0,0,4,5,3,1,2,0
daren_farmer__5320__hpl0622.xls,3,5,2,89,82,7,5,0,0,0,0,4,0,3,2,2,0
daren_farmer__5321__HPL-June.xls,1,20,3,1140,1135,263,20,0,0,0,0,17,23,5,15,30,0
daren_farmer__5322__EnronAvails0700.xls,2,24,4,3080,3073,60,20,0,0,0,0,20,20,3,21,6,0
daren_farmer__5323__Enron Nom Change.xls,3,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5324__Enron Nom Change.xls,3,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5325__hpl0623.xls,3,5,2,83,78,7,5,0,0,0,0,4,0,3,2,2,0
daren_farmer__5326__hpl0623.xls,3,5,2,90,85,7,5,0,0,0,0,4,0,3,2,2,0
daren_farmer__5327__hpl0624.xls,3,4,2,112,108,10,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5328__MinHPLN00.xls,3,8,3,63,57,8,7,0,0,0,0,4,9,6,1,2,0
daren_farmer__5329__SDSNOM.xls,3,3,2,53,42,3,3,0,0,0,0,1,2,3,0,1,0
daren_farmer__5330__Enron Nom Change.xls,3,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5332__hpl0627.xls,3,4,2,89,83,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5333__HPL-July.xls,1,19,3,195,190,38,19,0,0,0,0,16,23,16,5,18,0
daren_farmer__5334__June_Hours_Survey.xls,2,1,1,33574,33574,2,2,0,0,0,0,2,2,2,0,1,0
daren_farmer__5335__Hour Survey Instructions.xls,3,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5336__JuneActivityDriver.xls,2,0,0,52031,52031,1,1,0,0,0,0,1,1,1,0,1,0
daren_farmer__5337__hplc_prior_to_0500production.xls,2,4,3,262,258,3,3,0,0,0,0,3,2,3,0,1,0
daren_farmer__5338__ena_prior_to_0500production.xls,1,1,1,352,351,1,1,0,0,0,0,1,0,1,0,1,0
daren_farmer__5339__hpl0628.xls,3,4,2,88,83,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5340__0700Co-Owners Volumes to Enron.xls,2,42,4,1044,1040,92,37,0,0,0,0,36,25,24,15,20,0
daren_farmer__5341__EnronAvails0700rev1.xls,2,24,4,3082,3075,60,20,0,0,0,0,20,20,3,21,6,0
daren_farmer__5342__hpl0629.xls,3,4,2,88,83,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5343__07-00-A-T-E Report-Revised.xls,1,0,0,452,452,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5344__hpl0630.xls,3,4,2,88,83,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5345__HPL-June.xls,1,20,3,1500,1495,158,20,0,0,0,0,17,23,5,22,18,0
daren_farmer__5346__HPL-June.xls,1,11,3,1501,1496,30,11,0,0,0,0,8,6,8,3,18,0
daren_farmer__5347__hpl0701.xls,3,4,2,118,113,13,4,0,0,0,0,3,0,1,3,4,0
daren_farmer__5348__buydefjuly2000.xls,1,0,0,392,392,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5349__hpl0706.xls,3,4,2,93,88,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5350__EnronTrevinoPlt070800.xls,3,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5351__EnronHaynes21070700.xls,3,4,3,24,24,2,2,0,0,0,0,2,3,2,0,1,0
daren_farmer__5352__hpl0707.xls,3,5,2,94,88,7,5,0,0,0,0,4,0,3,2,2,0
daren_farmer__5353__hpl0708.xls,3,4,2,109,104,10,4,0,0,0,0,3,0,1,3,3,0
daren_farmer__5354__CoastalAlbrecht.xls,3,20,2,397,397,50,22,2,0,0,0,18,8,16,6,20,0
daren_farmer__5355__hpl0711.xls,3,4,2,93,88,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5356__hpl0711.xls,3,4,2,93,88,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5357__hpl0712.xls,3,4,2,87,82,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5358__accrued0711.xls,1,0,0,9212,9212,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5359__HoursSurvey_Jun_Mgr.xls,2,2,2,33502,33502,3,3,0,0,0,0,3,2,3,0,1,0
daren_farmer__5360__HoursSurvey_Jun_SenSp.xls,2,2,2,33532,33532,3,3,0,0,0,0,3,2,3,0,1,0
daren_farmer__5361__hpl0713.xls,3,4,2,92,87,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5362__Evaluation Form Toni Graham.xls,1,0,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer__5363__EnronHaynes21071400.xls,3,4,3,24,24,2,2,0,0,0,0,2,3,2,0,1,0
daren_farmer__5364__HPL-July.xls,1,20,3,811,806,261,20,0,0,0,0,17,25,5,18,28,0
daren_farmer__5365__hpl0714.xls,3,4,2,92,87,7,4,0,0,0,0,3,0,1,3,2,0
daren_farmer__5366__hpl0714.xls,3,3,2,97,93,7,3,0,0,0,0,2,0,1,2,4,0
