FileName,NWorksheets,NFunctions,NUniqueFunctions,Ncells,NNonEmptyCells,Nformulas,NUniqueFormulas,NRelatedWorksheets,NErrorCells,NNamedRanges,NUDFs, NFormulasReferring,NFormulasReferred,NFormulasOnce,NFormulasMore,NFormulasMost,NFunctionUsingList9
andrea_ring__9__ENRONGAS(0101).xls,4,24,9,1036,1032,120,29,2,6,0,0,27,23,19,13,31,1
andrew_lewis__56__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__57__WSCCloads_Daily.xls,1,0,0,5942,5942,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__58__liborfordi.xls,3,0,0,328,328,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__59__Aggie Night at Enron Sign Up Sheet.xls,3,8,4,277,276,6,5,0,0,0,0,2,5,4,2,2,1
andrew_lewis__60__6-04-01.xls,3,0,0,627,627,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__61__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__62__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__63__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__64__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__65__east_swap.xls,8,104,15,6882,6880,268,81,2,0,1,0,74,105,50,39,35,1
andrew_lewis__66__Exxon Gulf Coast 0401.xls,3,0,0,430,430,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__67__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__68__east_swap.xls,8,104,15,6882,6880,268,81,2,0,1,0,74,105,50,39,35,1
andrew_lewis__69__Exxon Gulf Coast 0401.xls,3,0,0,430,430,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__70__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__71__east_swap.xls,8,104,15,6882,6880,268,81,2,0,1,0,74,105,50,39,35,1
andrew_lewis__72__Exxon Gulf Coast 0401.xls,3,0,0,430,430,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__73__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__74__east_swap.xls,8,104,15,6882,6880,268,81,2,0,1,0,74,105,50,39,35,1
andrew_lewis__75__Exxon Gulf Coast 0401.xls,3,0,0,430,430,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__76__east_swap.xls,8,104,15,6882,6880,268,81,2,0,1,0,74,105,50,39,35,1
andrew_lewis__77__Notification Rpt 1200.xls,13,0,0,3467,3467,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__78__Notification Rpt 1200.xls,13,0,0,3483,3483,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__79__east_swap.xls,8,104,15,6882,6880,268,81,2,0,1,0,74,105,50,39,35,1
andrew_lewis__80__Notification Rpt 1200.xls,13,0,0,3467,3467,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__81__Notification Rpt 1200.xls,13,0,0,3483,3483,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__82__east_swap.xls,8,104,15,6882,6880,268,81,2,0,1,0,74,105,50,39,35,1
andrew_lewis__83__Notification Rpt 1200.xls,13,0,0,3467,3467,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__84__Notification Rpt 1200.xls,13,0,0,3483,3483,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__85__east_swap.xls,8,104,15,6882,6880,268,81,2,0,1,0,74,105,50,39,35,1
andrew_lewis__86__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__87__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__88__Tony_deals.xls,3,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__89__BCP Seat Assignments.xls,3,3,1,699,600,4,3,0,0,0,0,3,0,2,1,2,0
andrew_lewis__90__BCP Seat Assignments.xls,3,3,1,699,600,4,3,0,0,0,0,3,0,2,1,2,0
andrew_lewis__91__11-19-01.xls,3,0,0,719,719,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__92__11-19-01.xls,3,0,0,719,719,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__93__ATE November 2001.xls,1,0,0,2487,2487,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__94__ATE November 2001.xls,1,0,0,2487,2487,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__96__CrackSpreadOptions.xls,16,0,0,486,486,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__97__10-22-01.xls,3,0,0,715,715,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__98__ATE October 2001.xls,1,0,0,4727,4727,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis__99__10-29-01.xls,3,0,0,717,717,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__100__NGLPlayers.xls,3,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__101__EOL Prospects2.xls,3,0,0,310,310,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__102__Sales Funnel2.xls,3,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__103__Sales Funnel2.xls,3,0,0,102,102,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__104__Allario Prospects -- 6-01.xls,4,0,0,338,338,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__105__Haney Prospects -- 5-01.xls,4,0,0,463,463,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__106__Team Prospect List.xls,3,2,2,34226,34202,3059,2,1,0,1,0,1,1,0,2,2963,0
andy_zipper__107__temp2.xls,2,1,1,37,36,1,1,0,0,0,0,1,0,1,0,1,0
andy_zipper__108__test1.xls,3,7,3,129,127,18,6,0,0,0,0,6,7,2,4,8,0
andy_zipper__109__Cost Allocation 02-21-01.xls,3,5,2,182,152,8,5,0,0,0,0,5,2,2,3,2,0
andy_zipper__110__Brazil Invoice.xls,9,95,6,1330,1233,150,75,0,0,0,0,30,41,54,23,32,0
andy_zipper__111__Brokerage fees based on Volumes yr 2000_4-16-011.xls,4,18,4,2017,2012,42,26,0,0,0,0,25,22,22,15,12,1
andy_zipper__112__mODEL 3 7 01 Base.xls,14,129,7,83132,83115,3043,88,8,1,0,0,80,126,53,43,375,1
andy_zipper__113__mODEL 3 7 01 Pitch.xls,14,131,7,83130,83113,3053,90,8,1,0,0,82,128,54,49,375,1
andy_zipper__114__Broker detail 5-24-01.xls,5,16,11,18070,18069,129,8,1,0,0,0,2,9,4,4,116,3
andy_zipper__115__DYNEGY-ICE VOL Jun1.xls,16,60,17,166395,164615,10100,64,24,0,1,0,48,41,47,20,9990,3
andy_zipper__116__DYNEGY-ICE VOL Jun61.xls,16,55,13,177405,175494,10101,68,24,0,1,0,52,40,53,19,9990,3
andy_zipper__117__Non-Exempt EE Scorecard.xls,3,5,2,140,97,14,6,0,0,0,0,6,12,4,9,5,0
andy_zipper__118__Broker detail 6-4-01.xls,6,17,11,28763,28762,4764,9,1,0,0,0,2,9,3,6,4700,3
andy_zipper__119__EOL_Countries&Products_Status_06-01-01.xls,6,6,1,2724,2724,37,16,5,0,0,0,16,5,1,17,4,0
andy_zipper__120__Broker & Exchange Detail 6-5-01.xls,8,21,11,30628,30627,4772,11,1,0,0,0,2,13,3,8,4700,3
andy_zipper__121__DYNEGY-ICE VOL Jun6.xls,16,55,13,177405,175494,10101,68,24,0,1,0,52,40,53,19,9990,3
andy_zipper__122__DYNEGY-ICE VOL Jun61.xls,16,55,13,177405,175494,10101,68,24,0,1,0,52,40,53,19,9990,3
andy_zipper__123__Broker & Exchange Detail 6-7-01.xls,8,21,11,35049,35042,4768,11,1,0,0,0,2,13,4,7,4700,3
andy_zipper__124__Zipper PRC 6.13.xls,5,0,0,351,351,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__125__Global_Prod 6-7-01 EM.xls,7,0,0,5341,5341,8,8,7,0,0,0,8,3,8,0,1,0
andy_zipper__126__Trader & Products 6-7-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__127__Broker & Exchange Detail 6-8-01.xls,8,21,11,36671,36664,4768,11,1,0,0,0,2,13,4,7,4700,3
andy_zipper__128__DYNEGY-ICE VOL Jun7.xls,16,55,13,167458,165495,10101,68,24,0,1,0,52,40,53,19,9990,3
andy_zipper__129__Success-TradeLog.xls,1,0,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__130__ICE - Feb26 Power & Gas VOL.xls,3,5,2,1178,1092,4,4,2,0,0,0,4,3,4,0,1,0
andy_zipper__131__ICE - Feb27 Power & Gas VOL.xls,4,5,2,1134,1053,8,8,5,0,0,0,8,4,8,0,1,0
andy_zipper__132__ICE - Mar02 Power & Gas VOL.xls,4,7,3,1112,944,17,17,3,0,0,0,14,4,17,0,1,1
andy_zipper__133__ICE - Mar01 Power & Gas VOL.xls,4,7,3,1305,1133,17,17,3,0,0,0,14,4,17,0,1,1
andy_zipper__134__ICE - Mar05 Power & Gas VOL.xls,4,7,3,1154,980,17,17,3,0,0,0,14,4,17,0,1,1
andy_zipper__135__ICE - Mar07 Power & Gas VOL.xls,4,7,3,1148,980,17,17,3,0,0,0,14,4,17,0,1,1
andy_zipper__136__ICE - Mar06 Power & Gas VOL.xls,4,7,3,1196,1016,17,17,3,0,0,0,14,4,17,0,1,1
andy_zipper__137__ICE - Mar08 Power & Gas VOL.xls,4,7,3,1320,1142,17,17,3,0,0,0,14,4,17,0,1,1
andy_zipper__138__ICE - Mar09 Power & Gas VOL.xls,4,7,3,1227,1061,17,17,3,0,0,0,14,4,17,0,1,1
andy_zipper__139__ICE - Mar12 Power & Gas VOL.xls,4,7,3,1224,1052,17,17,3,0,0,0,14,4,17,0,1,1
andy_zipper__140__ICE - Mar13 Power & Gas VOL.xls,4,4,2,1231,1151,7,7,3,0,0,0,7,3,7,0,1,0
andy_zipper__141__ICE - Mar14 Power & Gas VOL.xls,4,4,2,1236,1152,7,7,3,0,0,0,7,3,7,0,1,0
andy_zipper__142__ICE - Mar15 Power & Gas VOL.xls,4,4,2,1213,1125,7,7,3,0,0,0,7,3,7,0,1,0
andy_zipper__143__ICE - Mar16 Power & Gas VOL.xls,4,4,2,1159,1071,7,7,3,0,0,0,7,3,7,0,1,0
andy_zipper__144__ICE - Mar19 Power & Gas VOL.xls,4,4,2,1150,1066,7,7,3,0,0,0,7,3,7,0,1,0
andy_zipper__145__ICE - Mar20 Power & Gas VOL.xls,4,4,2,1196,1111,7,7,3,0,0,0,7,3,7,0,1,0
andy_zipper__146__ICE - Mar21 Power & Gas VOL.xls,4,4,2,1456,1381,7,7,3,0,0,0,7,3,7,0,1,0
andy_zipper__147__ICE - Mar22 Power & Gas VOL.xls,4,4,2,1367,1291,7,7,3,0,0,0,7,3,7,0,1,0
andy_zipper__148__ICE - Mar22 Power & Gas VOL.xls,5,5,2,2172,2096,8,8,3,0,0,0,8,3,8,0,1,0
andy_zipper__150__ICE - Mar23 Power & Gas VOL.xls,4,4,2,1438,1363,7,7,3,0,0,0,7,3,7,0,1,0
andy_zipper__151__ICE - Mar26 Power & Gas VOL.xls,8,10,4,2312,1969,15,13,3,0,0,0,13,6,11,2,2,2
andy_zipper__152__ICE - Mar27 Power & Gas VOL.xls,13,33,13,8918,8516,41,31,14,0,0,0,27,18,25,6,4,3
andy_zipper__153__ICE - Mar27 Power & Gas VOL.xls,13,33,13,8910,8508,41,31,14,0,0,0,27,18,25,6,4,3
andy_zipper__154__ICE - Mar28 Power & Gas VOL.xls,13,41,13,8921,8236,65,46,20,0,0,0,41,30,31,16,4,3
andy_zipper__157__Global_Prod 3-29-01 EM.xls,7,0,0,3400,3400,6,6,6,0,0,0,6,2,6,0,1,0
andy_zipper__158__ICE - Mar29 Power & Gas VOL.xls,13,41,13,8479,7799,65,46,20,0,0,0,41,30,31,16,4,3
andy_zipper__159__ICE - Mar30 Power & Gas VOL.xls,13,41,13,8758,8083,69,47,20,0,0,0,42,31,31,18,4,3
andy_zipper__160__Trader & Products 4-4-01 EM.xls,3,0,0,183,183,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__161__Global_Prod 4-3-01 EM.xls,7,0,0,3545,3545,6,6,6,0,0,0,6,2,6,0,1,0
andy_zipper__162__DYNEGY-ICE VOL Apr4.xls,13,41,13,9286,8611,70,46,20,0,0,0,41,31,30,18,4,3
andy_zipper__163__DYNEGY-ICE VOL Apr6.xls,13,29,13,9082,8412,62,44,20,0,0,0,41,30,30,16,4,3
andy_zipper__164__DYNEGY-ICE VOL Apr5.xls,13,41,13,9351,8695,70,46,20,0,0,0,41,31,30,18,4,3
andy_zipper__165__DYNEGY-ICE VOL Apr9.xls,13,43,13,9142,8475,74,48,20,0,0,0,41,35,32,18,5,3
andy_zipper__166__DYNEGY-ICE VOL Apr10.xls,13,43,13,9492,8850,74,48,20,0,0,0,41,34,32,18,5,3
andy_zipper__167__DYNEGY-ICE VOL Apr11.xls,13,43,13,9429,8771,74,48,20,0,0,0,41,33,32,18,5,3
andy_zipper__168__DYNEGY-ICE VOL Apr12.xls,13,43,13,8859,8180,74,48,20,0,0,0,41,33,32,18,5,3
andy_zipper__169__DYNEGY-ICE VOL Apr13.xls,13,43,13,7535,6741,74,48,20,0,0,0,41,33,32,18,5,3
andy_zipper__170__DYNEGY-ICE VOL Apr16.xls,13,45,13,8768,8066,76,50,20,0,0,0,41,34,34,18,5,3
andy_zipper__171__DYNEGY-ICE VOL Apr18.xls,13,45,13,9347,8673,74,50,20,0,0,0,41,34,36,16,5,3
andy_zipper__172__DYNEGY-ICE VOL Apr17.xls,13,45,13,9162,8536,74,50,20,0,0,0,41,34,36,16,5,3
andy_zipper__173__DYNEGY-ICE VOL Apr19.xls,13,45,13,9736,9114,74,50,20,0,0,0,41,34,36,16,5,3
andy_zipper__174__DYNEGY-ICE VOL Apr20.xls,13,45,13,9233,8593,74,50,20,0,0,0,41,34,36,16,5,3
andy_zipper__175__DYNEGY-ICE VOL Apr23.xls,13,45,13,9418,8780,74,50,20,0,0,0,41,34,36,16,5,3
andy_zipper__176__DYNEGY-ICE VOL Apr24.xls,13,53,15,9607,8970,76,51,20,0,0,0,41,35,36,17,5,3
andy_zipper__177__DYNEGY-ICE VOL Apr25.xls,13,53,15,9214,8555,81,51,20,0,0,0,41,35,35,18,6,3
andy_zipper__178__DYNEGY-ICE VOL Apr27.xls,13,41,16,8538,7807,68,51,20,0,1,0,42,38,38,15,4,3
andy_zipper__179__DYNEGY-ICE VOL Apr26.xls,13,41,16,9140,8450,68,51,20,0,1,0,42,38,38,15,4,3
andy_zipper__180__DYNEGY-ICE VOL Apr30.xls,14,48,16,9696,8955,76,59,22,0,1,0,46,41,46,15,4,3
andy_zipper__181__DYNEGY-ICE VOL May11.xls,14,46,16,9760,9073,74,57,22,0,1,0,44,36,44,15,4,3
andy_zipper__182__DYNEGY-ICE VOL May14.xls,16,58,17,10510,9649,124,66,23,0,1,0,50,47,47,25,12,3
